"","id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","price","minimum_nights","maximum_nights","availability_365","number_of_reviews","review_scores_rating","instant_bookable","reviews_per_month","year"
"1","54334","254811",2010-10-06,"within an hour",100,100,"t","t","t","Quartier 5-1",46.914,-71.19565,"Entire serviced apartment","Entire home/apt",5,"1.5 baths",2,115,2,180,276,94,4.82,"t",0.78,11
"2","138381","675584",2011-06-07,"within an hour",100,100,"f","t","f","Sillery",46.76843,-71.26636,"Private room in bed and breakfast","Private room",3,"1 private bath",2,145,1,365,358,147,4.91,"f",1.22,10
"3","198548","960772",2011-08-12,"within a day",100,100,"t","t","t","Saint-Roch",46.81169,-71.22522,"Entire apartment","Entire home/apt",4,"1 bath",1,150,30,1125,252,51,4.72,"f",0.43,10
"4","214967","1110010",2011-09-04,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.80286,-71.21271,"Private room in townhouse","Private room",2,"1 shared bath",1,83,3,33,346,163,4.94,"f",1.51,10
"5","268812","1408583",2011-11-15,"N/A",NA,0,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81023,-71.21082,"Entire apartment","Entire home/apt",4,"1 bath",0,40,30,1000,0,77,4.88,"f",0.67,10
"6","330502","1686119",2012-02-01,"N/A",NA,NA,"f","t","f","Vieux-Moulin",46.85134,-71.21403,"Entire house","Entire home/apt",4,"1 bath",2,89,3,1125,187,33,4.87,"f",0.29,9
"7","502417","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Entire apartment","Entire home/apt",7,"1 bath",4,98,2,60,79,178,4.21,"f",1.67,9
"8","517628","2216595",2012-04-24,"within an hour",100,100,"f","t","f","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.80552,-71.20696,"Entire townhouse","Entire home/apt",8,"1.5 baths",5,340,2,30,10,15,4.8,"t",0.65,9
"9","562682","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Entire apartment","Entire home/apt",4,"1 bath",2,70,90,90,79,103,4.37,"t",1.76,9
"10","588889","2904660",2012-07-11,"within a few hours",100,100,"f","t","t","Lac-Saint-Charles",46.93219,-71.38034,"Entire house","Entire home/apt",8,"1.5 baths",5,300,7,8,3,4,4.75,"f",0.07,9
"11","652744","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Entire apartment","Entire home/apt",4,"1 bath",3,65,2,60,79,122,4.21,"t",1.48,9
"12","652815","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Private room in nature lodge","Private room",3,"1 shared bath",2,60,90,90,269,104,4.48,"t",0.98,9
"13","652950","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Private room in cottage","Private room",2,"1 shared bath",1,68,90,90,79,86,4.58,"t",0.89,9
"14","659635","2479300",2012-05-27,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80664,-71.22599,"Private room in house","Private room",2,"1 shared bath",2,68,2,60,79,90,4.58,"t",0.84,9
"15","661569","675584",2011-06-07,"within an hour",100,100,"f","t","f","Sillery",46.76978,-71.26591,"Room in bed and breakfast","Hotel room",3,"1 bath",1,145,1,1125,356,66,4.97,"f",0.69,10
"16","760018","4005779",2012-10-29,"within a day",100,100,"f","t","t","Vieux-Limoilou",46.82868,-71.22634,"Entire condominium","Entire home/apt",4,"1 bath",2,135,25,1125,134,70,4.73,"f",0.68,9
"17","878309","4598359",2013-01-05,"within a few hours",100,100,"t","t","t","Sillery",46.78341,-71.25123,"Entire apartment","Entire home/apt",4,"1 bath",2,75,30,365,338,27,4.63,"f",0.28,8
"18","878904","4598359",2013-01-05,"within a few hours",100,100,"t","t","t","Sillery",46.7817,-71.25042,"Entire apartment","Entire home/apt",4,"1 bath",2,50,30,1125,186,19,4.76,"f",0.32,8
"19","896581","4646399",2013-01-09,"within a day",100,0,"f","t","t","Cap-Rouge",46.74721,-71.35105,"Private room in house","Private room",2,"1 shared bath",1,80,2,30,364,6,4.25,"f",0.06,8
"20","916246","1562944",2012-01-03,"N/A",NA,NA,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81423,-71.2087,"Private room in apartment","Private room",2,"1 private bath",0,30,31,90,264,0,NA,"f",NA,9
"21","975749","3704617",2012-09-28,"N/A",NA,NA,"f","t","t","Saint-Sacrement",46.79359,-71.25751,"Entire apartment","Entire home/apt",6,"1 bath",3,75,29,1125,213,49,4.72,"f",0.49,9
"22","997400","5480680",2013-03-16,"within an hour",100,99,"f","t","t","Chutes-Montmorency",46.88356,-71.17293,"Entire guest suite","Entire home/apt",4,"1 bath",2,90,1,1125,277,469,4.54,"f",4.72,8
"23","1001559","5508181",2013-03-17,"N/A",NA,NA,"f","t","t","Saint-Jean-Baptiste",46.80631,-71.22715,"Entire apartment","Entire home/apt",4,"1 bath",2,400,2,1125,15,5,5,"f",0.16,8
"24","1014369","5580354",2013-03-22,"within a few hours",100,75,"f","t","t","Saint-Sauveur",46.81208,-71.23457,"Entire apartment","Entire home/apt",5,"1 bath",3,850,30,365,289,251,4.46,"t",2.49,8
"25","1094871","6015223",2013-04-20,"N/A",NA,NA,"t","t","t","Saint-Jean-Baptiste",46.80669,-71.22328,"Entire apartment","Entire home/apt",2,"1 bath",1,95,3,1124,0,140,4.86,"f",1.71,8
"26","1103650","6060744",2013-04-23,"within a few hours",100,0,"f","t","t","Saint-Jean-Baptiste",46.80844,-71.22057,"Entire house","Entire home/apt",6,"1.5 baths",3,350,6,62,364,22,4.55,"f",0.23,8
"27","1157303","6341801",2013-05-11,"a few days or more",0,0,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81619,-71.21153,"Entire apartment","Entire home/apt",2,"1 bath",2,105,3,365,61,226,4.32,"f",2.31,8
"28","1240632","6212858",2013-05-03,"within an hour",100,100,"f","t","t","Duberger-Les Saules",46.80802,-71.33486,"Private room in house","Private room",1,"1 shared bath",1,16,31,1125,234,9,4,"f",0.25,8
"29","1319549","4230524",2012-11-24,"N/A",NA,NA,"f","t","f","Lairet",46.83278,-71.23484,"Private room in house","Private room",4,"1 bath",1,75,2,14,0,11,4.82,"f",0.15,9
"30","1486117","7927151",2013-08-04,"within a few hours",100,90,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81528,-71.20141,"Private room in nature lodge","Private room",4,"1 shared bath",2,139,2,32,322,135,4.38,"f",1.41,8
"31","1486498","7927151",2013-08-04,"within a few hours",100,90,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81271,-71.20454,"Private room in nature lodge","Private room",2,"1 private bath",1,159,2,30,321,177,4.62,"f",2.47,8
"32","1487080","7927151",2013-08-04,"within a few hours",100,90,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81398,-71.203,"Room in boutique hotel","Private room",2,"1 private bath",1,139,2,30,70,135,4.46,"f",1.53,8
"33","1487383","7927151",2013-08-04,"within a few hours",100,90,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81076,-71.2064,"Room in aparthotel","Entire home/apt",6,"1 bath",3,248,2,90,306,215,4.73,"f",2.29,8
"34","1516068","6137330",2013-04-28,"N/A",NA,NA,"t","t","t","Sillery",46.78447,-71.25825,"Private room in apartment","Private room",1,"1 private bath",1,20,31,1125,327,21,4.95,"f",0.24,8
"35","1635571","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.83739,-71.22299,"Private room in villa","Private room",4,"1 private bath",2,70,1,1125,348,119,4.49,"t",1.38,8
"36","1645445","8732163",2013-09-09,"within a few hours",100,11,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81568,-71.20777,"Entire apartment","Entire home/apt",6,"1 bath",3,245,28,1124,365,113,4.75,"f",1.61,8
"37","1683632","8895388",2013-09-17,"within a day",100,75,"t","t","t","Saint-Jean-Baptiste",46.80696,-71.22751,"Entire apartment","Entire home/apt",2,"1 bath",1,150,2,100,357,87,4.82,"f",0.96,8
"38","1791781","9400797",2013-10-13,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80912,-71.22083,"Entire apartment","Entire home/apt",4,"1 bath",2,45,29,360,326,23,4.85,"f",0.47,8
"39","1851589","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.83672,-71.22148,"Private room in house","Private room",2,"1 private bath",1,75,1,1125,347,32,4.53,"t",0.37,8
"40","1863842","1645012",2012-01-23,"within a day",100,100,"f","t","t","Quartier 5-4",46.86202,-71.1895,"Entire apartment","Entire home/apt",6,"1 bath",3,120,2,31,312,230,4.66,"f",2.47,9
"41","1913443","9400797",2013-10-13,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80912,-71.22083,"Entire apartment","Entire home/apt",4,"1 bath",2,30,30,365,340,34,4.58,"f",0.41,8
"42","1979239","10214782",2013-11-23,"within an hour",100,100,"f","t","t","Saint-Sauveur",46.81187,-71.23208,"Private room in apartment","Private room",2,"1 shared bath",1,54,2,28,0,302,4.54,"t",3.35,8
"43","2027990","3927227",2012-10-20,"within a few hours",94,67,"t","t","f","Saint-Sacrement",46.79181,-71.24852,"Private room in apartment","Private room",1,"1 bath",1,17,31,365,289,30,4.93,"f",0.35,9
"44","2076200","8732163",2013-09-09,"within a few hours",100,11,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81416,-71.20769,"Entire apartment","Entire home/apt",4,"1 bath",0,209,28,1125,343,73,4.89,"f",1.07,8
"45","2165708","10969787",2014-01-02,"N/A",NA,NA,"f","t","t","Maizerets",46.84047,-71.21721,"Private room in apartment","Private room",2,"1 shared bath",1,60,30,1125,0,18,4.5,"f",0.21,7
"46","2203513","2874168",2012-07-08,"within a few hours",100,83,"t","t","t","Saint-Sacrement",46.79546,-71.2465,"Entire apartment","Entire home/apt",2,"1 bath",2,54,30,1125,195,28,4.85,"f",0.39,9
"47","2254593","4217000",2012-11-22,"N/A",NA,82,"t","t","t","Vieux-Limoilou",46.82879,-71.23115,"Entire house","Entire home/apt",7,"1 bath",4,200,5,1125,309,24,4.83,"f",0.27,9
"48","2578139","6825502",2013-06-09,"N/A",NA,100,"t","t","f","Sillery",46.78285,-71.25946,"Private room in house","Private room",1,"1 private bath",1,20,31,1125,67,26,4.88,"f",0.36,8
"49","2719825","13891705",2014-04-04,"N/A",NA,NA,"f","t","t","Maizerets",46.83823,-71.23241,"Entire apartment","Entire home/apt",3,"1.5 baths",2,28,2,1125,0,27,4.36,"f",0.32,7
"50","2803587","14339917",2014-04-15,"within an hour",100,100,"f","t","t","Saint-Roch",46.81566,-71.22472,"Entire loft","Entire home/apt",2,"1 bath",1,81,1,1125,35,400,4.64,"t",4.65,7
"51","2815533","14402481",2014-04-17,"within a day",86,100,"f","t","f","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81158,-71.21166,"Entire apartment","Entire home/apt",3,"1 bath",2,55,32,1125,301,3,5,"f",0.17,7
"52","2854775","14594594",2014-04-22,"within an hour",100,100,"f","t","t","Quartier 5-4",46.85389,-71.18559,"Room in boutique hotel","Hotel room",4,"1 bath",2,328,4,1125,354,10,4.33,"t",0.13,7
"53","2930811","14966026",2014-05-01,"within an hour",100,100,"t","t","t","Saint-Sauveur",46.80956,-71.2417,"Private room in house","Private room",2,"1.5 shared baths",1,75,1,1124,25,868,4.84,"t",10.21,7
"54","3028706","15427139",2014-05-12,"within a few hours",67,67,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81708,-71.20808,"Entire condominium","Entire home/apt",4,"1 bath",4,47,31,1125,276,1,5,"f",0.03,7
"55","3101045","1646154",2012-01-24,"within a few hours",96,90,"f","t","t","Saint-Sauveur",46.81357,-71.23875,"Entire apartment","Entire home/apt",2,"1 bath",1,25,60,1000,217,22,4.09,"f",0.26,9
"56","3110790","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.83647,-71.22146,"Private room in villa","Private room",5,"1 shared bath",2,75,1,1125,337,135,4.58,"t",1.6,8
"57","3111227","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.8365,-71.22211,"Private room in villa","Private room",3,"1 private bath",1,75,1,1125,335,56,4.77,"t",0.67,8
"58","3111369","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.83732,-71.22301,"Private room in villa","Private room",2,"1 bath",1,75,1,1125,348,69,4.58,"t",1.1,8
"59","3111553","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.83663,-71.22149,"Room in boutique hotel","Private room",4,"1 bath",2,70,1,1125,308,219,4.69,"t",2.81,8
"60","3111625","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.83695,-71.22303,"Private room in villa","Private room",2,"1 bath",1,95,1,1125,348,34,4.74,"t",0.54,8
"61","3111690","8687028",2013-09-07,"within an hour",96,100,"f","t","t","Maizerets",46.83726,-71.22245,"Private room in villa","Private room",3,"1 shared bath",2,65,1,10,331,49,4.63,"t",0.71,8
"62","3147232","6012904",2013-04-20,"within an hour",100,84,"t","t","t","Saint-Jean-Baptiste",46.81129,-71.22268,"Entire apartment","Entire home/apt",4,"1 bath",2,225,3,365,212,65,4.95,"f",1,8
"63","3238757","16386419",2014-06-04,"N/A",NA,NA,"f","t","f","Saint-Louis",46.75348,-71.30883,"Entire apartment","Entire home/apt",5,"2 baths",5,91,2,60,0,0,NA,"f",NA,7
"64","3294316","16531842",2014-06-08,"N/A",NA,NA,"f","t","f","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81027,-71.20983,"Entire apartment","Entire home/apt",4,"1 bath",2,90,30,1125,186,0,NA,"t",NA,7
"65","3475573","17506435",2014-07-01,"a few days or more",0,0,"f","t","f","Saint-Jean-Baptiste",46.81137,-71.21599,"Private room in condominium","Private room",2,"2 shared baths",1,75,4,180,179,131,4.88,"f",1.56,7
"66","3479387","17526167",2014-07-01,"N/A",NA,NA,"f","t","t","Montcalm",46.8003,-71.2362,"Entire apartment","Entire home/apt",4,"1 bath",1,100,3,1125,0,32,4.78,"f",0.38,7
"67","3486441","17555242",2014-07-02,"within a day",100,60,"f","t","f","Vieux-Limoilou",46.82527,-71.2314,"Entire apartment","Entire home/apt",4,"1 bath",2,110,31,1124,306,41,4.38,"f",0.48,7
"68","3499399","12810887",2014-03-04,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81093,-71.21275,"Entire loft","Entire home/apt",4,"1 bath",2,100,30,1125,65,54,4.83,"f",0.64,7
"69","3566946","13891705",2014-04-04,"N/A",NA,NA,"f","t","t","Maizerets",46.83815,-71.23202,"Entire apartment","Entire home/apt",3,"1.5 baths",2,28,2,1125,0,20,4.35,"f",0.24,7
"70","3592334","3197450",2012-08-08,"N/A",NA,NA,"f","t","t","Cité Universitaire",46.78257,-71.30341,"Entire townhouse","Entire home/apt",8,"2.5 baths",4,129,5,1124,203,18,4.65,"f",0.25,9
"71","3599705","18136166",2014-07-15,"within a day",100,100,"f","t","t","Saint-Roch",46.81011,-71.22936,"Entire apartment","Entire home/apt",6,"1 bath",3,104,31,365,265,80,4.43,"f",0.95,7
"72","3678120","18685843",2014-07-22,"within a day",100,0,"t","t","t","Saint-Jean-Baptiste",46.8064,-71.22553,"Private room in apartment","Private room",2,"1 bath",1,41,13,1125,358,3,4.33,"f",0.04,7
"73","3678952","18685843",2014-07-22,"within a day",100,0,"t","t","t","Saint-Jean-Baptiste",46.80562,-71.22367,"Private room in apartment","Private room",2,"1 bath",1,39,13,1125,365,5,4.6,"f",0.06,7
"74","3731628","19070558",2014-07-28,"within an hour",100,100,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81426,-71.20722,"Entire apartment","Entire home/apt",4,"1 bath",1,99,2,1124,310,339,4.78,"t",4.13,7
"75","3731999","1646154",2012-01-24,"within a few hours",96,90,"f","t","t","Saint-Sauveur",46.81434,-71.23963,"Entire apartment","Entire home/apt",4,"1 bath",2,28,55,365,365,30,4.32,"f",0.42,9
"76","3827476","19694974",2014-08-08,"N/A",NA,NA,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.80202,-71.20967,"Entire house","Entire home/apt",6,"3 baths",4,595,4,30,342,15,5,"f",0.21,7
"77","3840299","16308082",2014-06-02,"within an hour",100,99,"t","t","f","Saint-Jean-Baptiste",46.81107,-71.22202,"Entire apartment","Entire home/apt",2,"1 bath",1,127,2,1125,85,488,4.95,"f",5.83,7
"78","3861813","19871269",2014-08-11,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81596,-71.20812,"Entire apartment","Entire home/apt",4,"1 bath",2,250,31,1125,0,9,4.89,"t",0.2,7
"79","3880306","18685843",2014-07-22,"within a day",100,0,"t","t","t","Saint-Jean-Baptiste",46.80742,-71.22367,"Private room in apartment","Private room",2,"1 bath",1,39,32,1125,365,2,4.5,"f",0.06,7
"80","3895617","18685843",2014-07-22,"within a day",100,0,"t","t","t","Saint-Jean-Baptiste",46.80535,-71.22343,"Private room in apartment","Private room",2,"1 bath",1,41,32,1125,187,0,NA,"f",NA,7
"81","3898375","20070021",2014-08-15,"N/A",NA,NA,"f","t","t","Saint-Louis",46.75267,-71.30948,"Entire apartment","Entire home/apt",1,"1 bath",1,57,365,365,179,23,4.74,"f",0.28,7
"82","4069643","21107303",2014-09-08,"N/A",NA,NA,"f","t","t","Sillery",46.7893,-71.25003,"Entire condominium","Entire home/apt",4,"1 bath",2,73,2,30,213,190,4.52,"f",2.29,7
"83","4077412","21149027",2014-09-09,"N/A",NA,NA,"f","t","t","Saint-Sauveur",46.81136,-71.23334,"Private room in house","Private room",2,"1.5 shared baths",1,30,1,31,0,378,4.61,"f",5.04,7
"84","4215307","3201898",2012-08-08,"within an hour",100,99,"f","t","t","Saint-Sauveur",46.81044,-71.23905,"Entire apartment","Entire home/apt",2,"1 bath",1,92,1,1125,329,462,4.54,"f",6.14,9
"85","4276973","19909639",2014-08-12,"within an hour",100,100,"f","t","t","Saint-Roch",46.81459,-71.22607,"Entire apartment","Entire home/apt",4,"1 bath",2,111,1,1125,240,581,4.65,"t",7.27,7
"86","4286898","22254953",2014-10-07,"N/A",NA,NA,"f","t","f","Maizerets",46.83958,-71.22535,"Private room in apartment","Private room",1,"1 bath",1,240,28,1125,0,0,NA,"f",NA,7
"87","4493821","16066615",2014-05-27,"N/A",NA,NA,"f","t","t","Montcalm",46.79572,-71.23553,"Entire condominium","Entire home/apt",2,"1 bath",1,50,30,60,0,22,4.71,"f",0.29,7
"88","4563559","6212858",2013-05-03,"within an hour",100,100,"f","t","t","Duberger-Les Saules",46.80757,-71.33553,"Private room in house","Private room",1,"1 shared bath",1,16,30,1125,269,6,4.17,"f",0.11,8
"89","4567493","23676164",2014-11-12,"within an hour",86,33,"f","t","t","Lac-Saint-Charles",46.91826,-71.38308,"Private room in bed and breakfast","Private room",5,"2 baths",2,129,1,1125,354,1,5,"f",0.01,7
"90","4567897","23676164",2014-11-12,"within an hour",86,33,"f","t","t","Lac-Saint-Charles",46.91876,-71.38078,"Private room in bed and breakfast","Private room",4,"2 baths",2,129,1,1125,359,8,4.88,"f",0.17,7
"91","4585669","14594594",2014-04-22,"within an hour",100,100,"f","t","t","Quartier 5-4",46.85574,-71.18663,"Room in boutique hotel","Hotel room",4,"1 bath",2,130,1,1125,327,60,4.57,"t",0.8,7
"92","4596193","18991700",2014-07-27,"N/A",NA,NA,"f","t","t","Saint-Sauveur",46.80894,-71.24234,"Entire house","Entire home/apt",2,"1 bath",1,120,30,30,89,24,4.92,"f",0.3,7
"93","4613578","23901714",2014-11-18,"within an hour",100,96,"t","t","t","Saint-Louis",46.77217,-71.29623,"Entire apartment","Entire home/apt",3,"1 bath",1,65,1,1125,71,218,4.81,"f",2.78,7
"94","4617077","23676164",2014-11-12,"within an hour",86,33,"f","t","t","Lac-Saint-Charles",46.91866,-71.38113,"Private room in bed and breakfast","Private room",3,"2 baths",2,119,1,1125,354,10,5,"f",0.14,7
"95","4617223","23676164",2014-11-12,"within an hour",86,33,"f","t","t","Lac-Saint-Charles",46.91847,-71.3834,"Private room in bed and breakfast","Private room",6,"2 baths",3,129,1,1125,352,7,4.71,"f",0.1,7
"96","4617481","23676164",2014-11-12,"within an hour",86,33,"f","t","t","Lac-Saint-Charles",46.91737,-71.38351,"Private room in bed and breakfast","Private room",4,"2 baths",2,129,1,1125,362,1,5,"f",0.01,7
"97","4685791","6647989",2013-05-30,"within a few hours",100,100,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81213,-71.20913,"Entire apartment","Entire home/apt",4,"1 bath",1,53,30,1125,183,11,4.64,"f",0.17,8
"98","4803830","24747916",2014-12-11,"within a few hours",83,64,"f","t","t","Quartier 5-4",46.85766,-71.1767,"Room in hotel","Private room",2,"1 private bath",1,129,1,30,361,3,3.67,"f",0.04,7
"99","4820844","24819170",2014-12-14,"N/A",NA,NA,"f","t","f","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.815,-71.20631,"Entire apartment","Entire home/apt",2,"1 bath",1,34,1000,1125,365,1,5,"f",0.01,7
"100","4902020","25227914",2014-12-26,"within an hour",100,100,"t","t","t","Saint-Roch",46.81626,-71.22304,"Entire apartment","Entire home/apt",4,"1 bath",3,100,4,1125,309,94,4.87,"t",1.34,7
"101","4913189","25300924",2014-12-28,"within a few hours",100,50,"t","t","t","Saint-Sauveur",46.80663,-71.26214,"Private room in apartment","Private room",2,"1 bath",1,31,2,1125,309,56,4.89,"f",0.72,7
"102","4962994","25584124",2015-01-04,"N/A",NA,NA,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81052,-71.20643,"Entire guest suite","Entire home/apt",4,"1 bath",2,200,2,7,93,0,NA,"t",NA,6
"103","4995782","12849225",2014-03-05,"within a few hours",100,NA,"t","t","f","Saint-Jean-Baptiste",46.81187,-71.21766,"Entire condominium","Entire home/apt",2,"1 bath",1,125,30,1125,348,45,4.73,"f",0.59,7
"104","5051170","1646154",2012-01-24,"within a few hours",96,90,"f","t","t","Saint-Sauveur",46.81483,-71.23875,"Entire apartment","Entire home/apt",4,"1.5 baths",2,39,30,900,289,20,4.15,"f",0.31,9
"105","5078748","26228887",2015-01-16,"N/A",NA,NA,"f","t","f","Saint-Louis",46.76545,-71.27932,"Entire guest suite","Entire home/apt",3,"1 bath",2,75,3,365,323,28,4.74,"f",0.37,6
"106","5094755","26324945",2015-01-18,"N/A",NA,NA,"f","t","t","Saint-Sacrement",46.79017,-71.25455,"Entire house","Entire home/apt",7,"2 baths",5,259,2,1125,0,18,4.83,"f",0.25,6
"107","5100852","11164340",2014-01-09,"N/A",NA,100,"f","t","t","Saint-Sauveur",46.81267,-71.23883,"Entire house","Entire home/apt",7,"2 baths",5,150,5,1120,0,10,4.8,"f",0.21,7
"108","5160965","26691052",2015-01-25,"N/A",NA,NA,"f","t","f","Sillery",46.78338,-71.24704,"Private room in house","Private room",2,"1 bath",1,50,32,1125,364,130,4.31,"f",1.66,6
"109","5245727","15391280",2014-05-11,"within an hour",100,100,"f","t","t","Saint-Jean-Baptiste",46.80775,-71.22407,"Private room in house","Private room",2,"1 shared bath",1,88,1,1125,60,1,5,"t",0.02,7
"110","5442064","28224563",2015-02-23,"within an hour",83,100,"f","t","f","Pointe-de-Sainte-Foy",46.76392,-71.32674,"Entire house","Entire home/apt",9,"2 baths",5,370,2,1125,345,46,4.8,"t",0.89,6
"111","5442258","28224563",2015-02-23,"within an hour",83,100,"f","t","f","Pointe-de-Sainte-Foy",46.76469,-71.32511,"Entire house","Entire home/apt",9,"2 baths",5,370,2,1125,345,29,4.79,"t",0.4,6
"112","5457653","26691052",2015-01-25,"N/A",NA,NA,"f","t","f","Sillery",46.78328,-71.24659,"Private room in house","Private room",2,"1 bath",1,50,32,1125,364,143,4.52,"f",1.89,6
"113","5478609","28408747",2015-02-26,"within a few hours",100,50,"t","t","t","Montcalm",46.8045,-71.22506,"Entire apartment","Entire home/apt",4,"1 bath",2,89,31,365,179,69,4.96,"f",1.49,6
"114","5487325","6825502",2013-06-09,"N/A",NA,100,"t","t","f","Sillery",46.7837,-71.25888,"Private room in house","Private room",1,"1 private bath",1,20,31,1125,327,8,4.63,"f",0.14,8
"115","5495123","24819170",2014-12-14,"N/A",NA,NA,"f","t","f","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81628,-71.20766,"Entire apartment","Entire home/apt",2,"1 bath",1,29,1000,1125,365,1,5,"f",0.01,7
"116","5517202","5758591",2013-04-03,"within an hour",100,100,"t","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.79403,-71.22944,"Entire apartment","Entire home/apt",5,"1 bath",3,295,3,1125,348,33,4.97,"t",1.15,8
"117","5536939","4252877",2012-11-26,"within an hour",100,100,"f","t","f","Saint-Jean-Baptiste",46.81246,-71.21678,"Entire apartment","Entire home/apt",4,"1 bath",2,74,14,1125,18,19,4.72,"t",0.27,9
"118","5564215","28843000",2015-03-06,"within an hour",100,100,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81665,-71.2143,"Entire apartment","Entire home/apt",5,"1 bath",3,136,2,1125,15,136,4.46,"f",1.77,6
"119","5604407","6212858",2013-05-03,"within an hour",100,100,"f","t","t","Duberger-Les Saules",46.80757,-71.33553,"Private room in house","Private room",1,"1 shared bath",1,16,30,1125,79,5,4.8,"f",2.83,8
"120","5702319","29564708",2015-03-18,"within a few hours",100,50,"f","t","t","Vieux-Limoilou",46.82772,-71.24096,"Entire loft","Entire home/apt",4,"1 bath",2,65,1,1125,66,0,NA,"f",NA,6
"121","5734900","22000906",2014-10-01,"N/A",NA,NA,"f","t","t","Montcalm",46.80507,-71.23418,"Entire apartment","Entire home/apt",5,"1 bath",3,128,16,62,118,0,NA,"f",NA,7
"122","5847476","29818429",2015-03-22,"within an hour",100,NA,"f","t","t","Saint-Jean-Baptiste",46.81088,-71.21751,"Entire loft","Entire home/apt",4,"1 bath",2,170,32,1125,364,102,4.58,"f",1.37,6
"123","5847721","29818429",2015-03-22,"within an hour",100,NA,"f","t","t","Saint-Jean-Baptiste",46.81047,-71.21617,"Entire apartment","Entire home/apt",2,"1 bath",1,100,32,1125,155,93,4.72,"f",1.31,6
"124","5880353","11857139",2014-02-02,"N/A",NA,NA,"f","t","t","Vieux-Limoilou",46.82466,-71.22379,"Entire apartment","Entire home/apt",2,"1 bath",1,115,30,1125,187,5,5,"f",0.11,7
"125","6091563","31612995",2015-04-20,"within a few hours",100,NA,"f","t","f","Saint-Sauveur",46.80904,-71.23455,"Entire apartment","Entire home/apt",4,"1 bath",2,88,30,1125,16,9,4.67,"t",0.12,6
"126","6100766","15427139",2014-05-12,"within a few hours",67,67,"f","t","t","Vieux-Québec/Cap-Blanc/Colline parlementaire",46.81579,-71.20808,"Entire condominium","Entire home/apt",3,"1 bath",2,40,31,31,338,6,5,"f",0.1,7
"127","6140302","31852871",2015-04-24,"within a few hours",91,76,"t","t","t","Sillery",46.7529,-71.28102,"Entire house","Entire home/apt",6,"3 baths",3,543,2,40,206,137,4.81,"f",1.85,6
"128","6163009","31972716",2015-04-26,"within a day",50,33,"f","t","f","Chutes-Montmorency",46.8796,-71.16519,"Private room in house","Private room",2,"1 shared bath",0,48,32,1125,293,15,4.64,"f",0.2,6
